lag_sweep	g1
5	1.56778556E+01
10	2.17112872E+01
15	2.57290929E+01
20	2.88847982E+01
25	3.15229438E+01
30	3.37079132E+01
35	3.57652684E+01
40	3.74555777E+01
45	3.91683869E+01
50	4.07966674E+01
55	4.23251240E+01
60	4.36969580E+01
65	4.51530072E+01
70	4.65255633E+01
75	4.79048350E+01
80	4.92151776E+01
85	5.03697915E+01
90	5.16658184E+01
95	5.27172106E+01
100	5.38225607E+01
105	5.49357081E+01
110	5.60319189E+01
115	5.70991766E+01
120	5.82196770E+01
125	5.90796807E+01
130	6.02530122E+01
135	6.10723563E+01
140	6.22597413E+01
145	6.29203529E+01
150	6.41242893E+01
155	6.48884188E+01
160	6.59587417E+01
165	6.66248313E+01
170	6.76085436E+01
175	6.84480035E+01
180	6.92809969E+01
185	7.00901494E+01
190	7.11815728E+01
195	7.18854420E+01
200	7.28900659E+01
205	7.35720187E+01
210	7.45202399E+01
215	7.51350956E+01
220	7.60798279E+01
225	7.67724102E+01
230	7.76152805E+01
235	7.83498241E+01
240	7.90934814E+01
245	7.97595277E+01
250	8.07376701E+01
255	8.13689038E+01
260	8.23334558E+01
265	8.30178385E+01
270	8.38501800E+01
275	8.45349412E+01
280	8.54502522E+01
285	8.60558848E+01
290	8.69603566E+01
295	8.74875942E+01
300	8.83716040E+01
305	8.89234313E+01
310	8.98327060E+01
315	9.04612488E+01
320	9.12862842E+01
325	9.19337238E+01
330	9.27087663E+01
335	9.32589934E+01
340	9.41666295E+01
345	9.45337900E+01
350	9.54409410E+01
355	9.61003261E+01
360	9.68998038E+01
365	9.73577785E+01
370	9.82416920E+01
375	9.86584391E+01
380	9.96658326E+01
385	9.99257925E+01
390	1.00835564E+02
395	1.01191913E+02
400	1.02088617E+02
405	1.02486115E+02
410	1.03441836E+02
415	1.03841265E+02
420	1.04673214E+02
425	1.05115778E+02
430	1.05873246E+02
435	1.06320042E+02
440	1.07139819E+02
445	1.07586812E+02
450	1.08337119E+02
455	1.08714266E+02
460	1.09448528E+02
465	1.09832803E+02
470	1.10550700E+02
475	1.10821657E+02
480	1.11495481E+02
485	1.11922491E+02
490	1.12656266E+02
495	1.13167002E+02
500	1.13943286E+02
505	1.14299053E+02
510	1.14923755E+02
515	1.15264101E+02
520	1.15974067E+02
525	1.16501480E+02
530	1.17148763E+02
535	1.17628097E+02
540	1.18427130E+02
545	1.18856816E+02
550	1.19589908E+02
555	1.19898939E+02
560	1.20669962E+02
565	1.20916167E+02
570	1.21743212E+02
