lag_sweep	g_R
5	9.64847673E-01
10	9.45400047E-01
15	9.29945254E-01
20	9.17245282E-01
25	9.06023841E-01
30	8.95639232E-01
35	8.86372211E-01
40	8.78256821E-01
45	8.70518158E-01
50	8.63405918E-01
55	8.56860214E-01
60	8.50389335E-01
65	8.44812318E-01
70	8.38909522E-01
75	8.33374736E-01
80	8.27962107E-01
85	8.22572201E-01
90	8.17588276E-01
95	8.12629372E-01
100	8.08211755E-01
105	8.03228290E-01
110	7.98826366E-01
115	7.94916419E-01
120	7.91046890E-01
125	7.87960322E-01
130	7.84856771E-01
135	7.81168003E-01
140	7.77885487E-01
145	7.74513598E-01
150	7.71323877E-01
155	7.68150860E-01
160	7.65176713E-01
165	7.62097835E-01
170	7.58747452E-01
175	7.56037203E-01
180	7.53430870E-01
185	7.51070385E-01
190	7.48014331E-01
195	7.45879418E-01
200	7.43570832E-01
205	7.41413585E-01
210	7.39009567E-01
215	7.36790909E-01
220	7.34451961E-01
225	7.31844589E-01
230	7.29146464E-01
235	7.26895920E-01
240	7.24337493E-01
245	7.22294212E-01
250	7.20211197E-01
255	7.18282528E-01
260	7.15752567E-01
265	7.13505922E-01
270	7.11266598E-01
275	7.09657297E-01
280	7.07960759E-01
285	7.06041354E-01
290	7.04272803E-01
295	7.02093892E-01
300	7.00001125E-01
305	6.97826166E-01
310	6.96020207E-01
315	6.93807727E-01
320	6.92305455E-01
325	6.90644429E-01
330	6.89063057E-01
335	6.87341977E-01
340	6.85353876E-01
345	6.83251407E-01
350	6.81360377E-01
355	6.79423736E-01
360	6.77615579E-01
365	6.75606739E-01
370	6.73566010E-01
375	6.71536226E-01
380	6.69313828E-01
385	6.67373805E-01
390	6.65512444E-01
395	6.63698826E-01
400	6.61680534E-01
405	6.59829565E-01
410	6.57838704E-01
415	6.55853491E-01
420	6.53599392E-01
425	6.51728779E-01
430	6.49613487E-01
435	6.47124443E-01
440	6.44303487E-01
445	6.41767451E-01
450	6.39148035E-01
455	6.36905152E-01
460	6.34695276E-01
465	6.32376238E-01
470	6.30192435E-01
475	6.27825291E-01
480	6.25515754E-01
485	6.23320108E-01
490	6.21434217E-01
495	6.19197208E-01
500	6.17652448E-01
505	6.15853723E-01
510	6.14595673E-01
515	6.13000610E-01
520	6.11753695E-01
525	6.10375156E-01
530	6.08720268E-01
535	6.07046835E-01
540	6.05078594E-01
545	6.03444995E-01
550	6.01044439E-01
555	5.99376105E-01
560	5.97760048E-01
565	5.95415232E-01
570	5.93452927E-01
575	5.91883595E-01
580	5.89978795E-01
585	5.88222842E-01
590	5.86424498E-01
595	5.84755672E-01
600	5.82587927E-01
605	5.80794105E-01
610	5.78671161E-01
615	5.76543912E-01
620	5.74740100E-01
625	5.73485724E-01
630	5.72743785E-01
635	5.71746750E-01
640	5.70117264E-01
645	5.69233590E-01
650	5.68194993E-01
655	5.67725444E-01
660	5.66625896E-01
665	5.65420467E-01
670	5.64490755E-01
675	5.63300122E-01
680	5.62674013E-01
685	5.61484904E-01
690	5.60362045E-01
695	5.59829743E-01
700	5.58821714E-01
705	5.57602625E-01
710	5.56085423E-01
715	5.54236790E-01
720	5.53287161E-01
725	5.52394053E-01
730	5.50392197E-01
735	5.47971911E-01
740	5.46458207E-01
745	5.45156721E-01
750	5.43886107E-01
755	5.42130556E-01
760	5.41553689E-01
765	5.40101716E-01
770	5.38812343E-01
775	5.37649716E-01
780	5.36626110E-01
785	5.35684944E-01
790	5.34065031E-01
795	5.33213721E-01
800	5.32820065E-01
805	5.32326904E-01
810	5.31271673E-01
815	5.29924732E-01
820	5.28056904E-01
825	5.26636783E-01
830	5.25272383E-01
835	5.23873050E-01
840	5.23088282E-01
845	5.21796283E-01
850	5.20352777E-01
855	5.19602324E-01
860	5.18539872E-01
865	5.16858946E-01
870	5.15145117E-01
875	5.12763029E-01
880	5.10846932E-01
885	5.09291746E-01
890	5.07896315E-01
895	5.06217868E-01
900	5.04550271E-01
905	5.02533634E-01
910	5.00351604E-01
915	4.98669606E-01
920	4.96163067E-01
925	4.94530220E-01
930	4.91505585E-01
935	4.89964819E-01
940	4.87156600E-01
945	4.84539559E-01
950	4.82503782E-01
955	4.80834000E-01
960	4.80176010E-01
965	4.79242355E-01
970	4.79296602E-01
975	4.78827604E-01
980	4.79599852E-01
985	4.80306624E-01
990	4.81399232E-01
995	4.82044709E-01
1000	4.81727872E-01
1005	4.81922617E-01
1010	4.81648027E-01
1015	4.80929190E-01
1020	4.81147453E-01
1025	4.80393682E-01
1030	4.81280714E-01
1035	4.81635841E-01
1040	4.81518078E-01
1045	4.80759547E-01
1050	4.81014702E-01
1055	4.81032881E-01
1060	4.81813315E-01
1065	4.82927950E-01
1070	4.83195679E-01
1075	4.82744731E-01
1080	4.81314761E-01
1085	4.79901999E-01
1090	4.78578044E-01
1095	4.78600631E-01
1100	4.79719512E-01
1105	4.80730759E-01
1110	4.80787282E-01
1115	4.81539630E-01
1120	4.83093952E-01
1125	4.85363569E-01
1130	4.85115281E-01
1135	4.85149874E-01
1140	4.84198428E-01
1145	4.82088144E-01
1150	4.79208535E-01
1155	4.76968875E-01
1160	4.71538554E-01
1165	4.66869538E-01
1170	4.64091527E-01
1175	4.58751233E-01
1180	4.53798014E-01
1185	4.50297931E-01
1190	4.48032889E-01
1195	4.47457154E-01
1200	4.48250487E-01
1205	4.48084275E-01
1210	4.45966241E-01
1215	4.44495663E-01
1220	4.40612407E-01
1225	4.43894904E-01
1230	4.52560396E-01
1235	4.57785975E-01
1240	4.51739845E-01
1245	4.66962103E-01
