sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	3.46555724E+03	5.31988933E+02	6.51434084E+00	0.00000000E+00	1317
1000	equilibration	3.67007398E+03	5.60724171E+02	6.54523948E+00	0.00000000E+00	1186
2000	equilibration	3.60193067E+03	5.68277892E+02	6.33832624E+00	0.00000000E+00	1226
3000	equilibration	3.77198459E+03	5.79000659E+02	6.51464646E+00	0.00000000E+00	1253
4000	equilibration	3.64284252E+03	5.86629851E+02	6.20978035E+00	0.00000000E+00	1228
5000	equilibration	3.71830707E+03	6.00886506E+02	6.18803556E+00	0.00000000E+00	1254
6000	equilibration	3.45684129E+03	5.93547013E+02	5.82403957E+00	0.00000000E+00	1223
7000	equilibration	3.54802131E+03	6.07814724E+02	5.83734018E+00	0.00000000E+00	1200
8000	equilibration	3.75396987E+03	6.03347650E+02	6.22190187E+00	0.00000000E+00	1207
9000	equilibration	3.61828468E+03	6.04392724E+02	5.98664500E+00	0.00000000E+00	1256
10000	equilibration	3.43204679E+03	6.01814272E+02	5.70283383E+00	0.00000000E+00	1231
11000	equilibration	3.52578928E+03	6.08483534E+02	5.79438732E+00	0.00000000E+00	1222
12000	equilibration	3.56969601E+03	6.01713141E+02	5.93255451E+00	0.00000000E+00	1178
13000	equilibration	3.54265100E+03	6.10742933E+02	5.80055995E+00	0.00000000E+00	1204
14000	equilibration	3.55448052E+03	6.16193714E+02	5.76844658E+00	0.00000000E+00	1178
15000	equilibration	3.54865706E+03	6.07586668E+02	5.84057755E+00	0.00000000E+00	1238
16000	equilibration	3.40852617E+03	6.16748575E+02	5.52660567E+00	0.00000000E+00	1157
17000	equilibration	3.51693988E+03	6.06321721E+02	5.80045174E+00	0.00000000E+00	1209
18000	equilibration	3.61181949E+03	5.98269747E+02	6.03710869E+00	0.00000000E+00	1244
19000	equilibration	3.54787643E+03	5.96558028E+02	5.94724446E+00	0.00000000E+00	1203
20000	equilibration	3.43114914E+03	5.92376685E+02	5.79217452E+00	0.00000000E+00	1242
21000	equilibration	3.50613005E+03	5.91223496E+02	5.93029552E+00	0.00000000E+00	1216
22000	equilibration	3.80539183E+03	6.03850771E+02	6.30187459E+00	0.00000000E+00	1214
23000	equilibration	3.57529204E+03	5.95616822E+02	6.00267136E+00	0.00000000E+00	1233
24000	equilibration	3.85395456E+03	6.03110252E+02	6.39013272E+00	0.00000000E+00	1219
25000	equilibration	3.62863801E+03	5.92688006E+02	6.12234089E+00	0.00000000E+00	1195
26000	equilibration	3.62705551E+03	5.90190353E+02	6.14556896E+00	0.00000000E+00	1230
27000	equilibration	3.39189037E+03	5.82518981E+02	5.82279803E+00	0.00000000E+00	1212
28000	equilibration	3.61808561E+03	5.90359363E+02	6.12861562E+00	0.00000000E+00	1313
29000	equilibration	3.68974787E+03	5.92637446E+02	6.22597829E+00	0.00000000E+00	1192
30000	equilibration	3.61298540E+03	5.92402139E+02	6.09887299E+00	0.00000000E+00	1227
31000	equilibration	3.43841037E+03	5.88618865E+02	5.84148856E+00	0.00000000E+00	1200
