lag_sweep	g_CM
5	1.20100089E+00
10	1.88302779E+00
15	2.44922958E+00
20	2.94920071E+00
25	3.41532553E+00
30	3.85499136E+00
35	4.26838787E+00
40	4.65514560E+00
45	5.02660613E+00
50	5.38178994E+00
55	5.71005234E+00
60	6.04882414E+00
65	6.37680331E+00
70	6.68660081E+00
75	6.99196580E+00
80	7.26962621E+00
85	7.55693764E+00
90	7.84344132E+00
95	8.11295178E+00
100	8.38929778E+00
105	8.65551908E+00
110	8.92021827E+00
115	9.16821524E+00
120	9.40507826E+00
125	9.64795091E+00
130	9.87014697E+00
135	1.00860503E+01
140	1.03165958E+01
145	1.05402828E+01
150	1.07555706E+01
155	1.09722166E+01
160	1.11971435E+01
165	1.14378276E+01
170	1.16742579E+01
175	1.19087931E+01
180	1.21297371E+01
185	1.23581255E+01
190	1.25928125E+01
195	1.28145480E+01
200	1.30288442E+01
205	1.32428023E+01
210	1.34587868E+01
215	1.36849547E+01
220	1.39107090E+01
225	1.41307621E+01
230	1.43497081E+01
235	1.45699917E+01
240	1.47960456E+01
245	1.50344825E+01
250	1.52590995E+01
255	1.54789203E+01
260	1.56951205E+01
265	1.59100043E+01
270	1.61300766E+01
275	1.63659554E+01
280	1.66002469E+01
285	1.68318639E+01
290	1.70584187E+01
295	1.72744713E+01
300	1.75176709E+01
305	1.77438410E+01
310	1.79641078E+01
315	1.81806285E+01
320	1.83959698E+01
325	1.85876069E+01
330	1.87884619E+01
335	1.89654649E+01
340	1.91515470E+01
345	1.93309597E+01
350	1.95250303E+01
355	1.96861948E+01
360	1.98603808E+01
365	2.00414052E+01
370	2.01880533E+01
375	2.03475388E+01
380	2.05098836E+01
385	2.06723003E+01
390	2.08156457E+01
395	2.09662940E+01
400	2.11113891E+01
405	2.12765369E+01
410	2.14326629E+01
415	2.15871936E+01
420	2.17589513E+01
425	2.19388334E+01
430	2.21181024E+01
435	2.23090328E+01
440	2.24884923E+01
445	2.26490744E+01
450	2.28146883E+01
455	2.29544512E+01
460	2.31153002E+01
465	2.32721365E+01
470	2.34502827E+01
475	2.36359697E+01
480	2.38070137E+01
485	2.39852627E+01
490	2.41481960E+01
495	2.43140185E+01
500	2.44856758E+01
505	2.46448463E+01
510	2.48142677E+01
515	2.49958451E+01
520	2.51764016E+01
525	2.53733758E+01
530	2.55571360E+01
535	2.57134386E+01
540	2.58923962E+01
545	2.60855585E+01
550	2.62446745E+01
555	2.64167291E+01
560	2.66165031E+01
565	2.68066984E+01
570	2.70166921E+01
575	2.71964683E+01
580	2.73874860E+01
585	2.75891987E+01
590	2.77679305E+01
595	2.79300873E+01
600	2.80916555E+01
605	2.82584329E+01
610	2.84269786E+01
615	2.85909879E+01
620	2.87352694E+01
625	2.88916139E+01
630	2.90263177E+01
635	2.91945344E+01
640	2.93628978E+01
645	2.95173754E+01
650	2.96828924E+01
655	2.98676145E+01
660	3.00490236E+01
665	3.02447513E+01
670	3.04234797E+01
675	3.05916993E+01
680	3.07595332E+01
685	3.09444428E+01
690	3.11336824E+01
695	3.13112659E+01
700	3.14749101E+01
705	3.16515085E+01
710	3.18408552E+01
715	3.20058712E+01
720	3.21881949E+01
725	3.24057711E+01
730	3.25823839E+01
735	3.27583501E+01
740	3.29419444E+01
745	3.31215062E+01
750	3.32723357E+01
755	3.34297281E+01
760	3.35971906E+01
765	3.37938771E+01
770	3.39439511E+01
775	3.41177761E+01
780	3.42979375E+01
785	3.44554004E+01
790	3.45766878E+01
795	3.47397708E+01
800	3.49127497E+01
805	3.50597519E+01
810	3.52000865E+01
815	3.53422767E+01
820	3.55172280E+01
825	3.56607838E+01
830	3.58103714E+01
835	3.59544031E+01
840	3.61336884E+01
845	3.63232895E+01
850	3.65231445E+01
855	3.67275319E+01
860	3.69540649E+01
865	3.71720091E+01
870	3.74071759E+01
875	3.76499354E+01
880	3.78725466E+01
885	3.81116995E+01
890	3.83754241E+01
895	3.86158332E+01
900	3.88561492E+01
