chain_id	R2	Rg2
0	6.16692982E+02	9.94582962E+01
1	4.16918858E+02	7.35494237E+01
2	2.86276886E+02	9.07458910E+01
3	5.23653411E+02	6.73811489E+01
4	1.12015906E+03	1.48829309E+02
5	4.25906981E+02	1.18273986E+02
6	4.45864268E+02	9.50832419E+01
7	4.00692420E+02	9.52678039E+01
8	8.60758112E+02	8.28568840E+01
9	4.39165669E+02	1.00479190E+02
10	6.20179966E+02	9.41832531E+01
11	2.31102381E+02	5.96503262E+01
12	1.12866686E+03	1.12665959E+02
13	9.51294623E+02	1.04712874E+02
14	1.40892471E+03	1.32147960E+02
15	8.91624956E+02	1.37636945E+02
16	2.81513264E+02	1.13254661E+02
17	2.05261404E+02	8.71956298E+01
18	1.38733061E+03	1.82851192E+02
19	1.71337376E+03	1.71795589E+02
20	2.12082185E+02	1.21204311E+02
21	1.10253784E+03	1.40303821E+02
22	6.68882366E+02	1.50488216E+02
23	5.99339833E+02	1.27611411E+02
24	1.05265398E+02	7.76487397E+01
25	8.16022278E+02	1.23595593E+02
26	9.01922118E+02	1.47194333E+02
27	1.23725067E+03	1.78216935E+02
28	8.01348717E+02	1.44683694E+02
29	3.70873285E+02	7.94757400E+01
30	3.60482120E+02	8.73944251E+01
31	8.42351519E+02	1.30860210E+02
32	1.18633607E+03	1.14046553E+02
33	2.04617332E+03	2.10951916E+02
34	3.19248179E+02	8.72105616E+01
35	3.23804086E+02	7.33654325E+01
36	6.41644475E+01	6.73608992E+01
37	9.42809909E+02	1.70478363E+02
38	2.91106060E+02	9.97024459E+01
39	8.05946185E+02	1.03615973E+02
40	9.47544360E+02	9.97499202E+01
41	4.00298236E+02	1.09164575E+02
42	1.02318108E+03	1.11383761E+02
43	7.51136531E+02	7.15175408E+01
44	9.75449141E+02	1.34773097E+02
45	1.15770839E+03	9.67412335E+01
46	1.10334646E+03	1.74196865E+02
47	5.13820642E+02	7.20789312E+01
48	3.51573511E+02	7.53976914E+01
49	2.32374386E+03	2.09012997E+02
50	1.01302183E+03	1.51658777E+02
51	5.29481710E+02	1.17775174E+02
52	1.17751636E+03	1.54659088E+02
53	6.22461630E+02	8.04556071E+01
54	3.91284628E+02	6.96754844E+01
55	7.98049294E+02	1.74465225E+02
56	6.62855430E+02	7.24729524E+01
57	2.67540917E+01	6.95091875E+01
58	2.08192381E+02	7.93532517E+01
59	1.38183209E+02	7.37148208E+01
60	6.22038033E+02	8.70346184E+01
61	4.56125832E+02	9.01216479E+01
62	6.77915106E+02	9.62898142E+01
63	7.68925280E+02	9.70994286E+01
64	8.17757043E+02	1.21958693E+02
65	1.19701494E+03	1.53104213E+02
66	1.42944371E+03	1.73432425E+02
67	7.20425943E+02	1.17000268E+02
68	6.00552196E+02	1.00104746E+02
69	1.41157250E+03	1.64575814E+02
70	1.69089825E+02	5.92164337E+01
71	8.79962673E+02	8.78307118E+01
72	1.63268238E+03	2.53050565E+02
73	1.10377392E+03	1.51692530E+02
74	2.08081127E+02	5.93470040E+01
75	4.25428129E+02	1.02536203E+02
76	6.42142186E+02	1.68174156E+02
77	4.04357738E+02	1.21479741E+02
78	1.35165238E+03	1.28360398E+02
79	8.25764285E+02	1.30545943E+02
80	7.17262232E+02	1.33090749E+02
81	1.48807758E+03	1.90273044E+02
82	8.85416667E+02	1.10261102E+02
83	5.35422288E+02	1.20731220E+02
84	9.39330536E+02	1.34962974E+02
85	7.44098153E+01	5.88263111E+01
86	8.14941506E+02	1.38121782E+02
87	1.89776702E+03	1.76187921E+02
88	1.03738482E+03	1.43217006E+02
89	6.63995720E+02	1.11186556E+02
90	6.27053188E+02	1.09507522E+02
91	1.08508161E+03	1.25215204E+02
92	4.56744737E+02	8.04297469E+01
93	1.16550513E+03	1.85952355E+02
94	6.04622378E+02	1.27132993E+02
95	6.79506268E+02	1.41531422E+02
96	1.18525038E+03	1.50802039E+02
97	1.20812363E+03	1.62623101E+02
98	8.40452798E+01	6.25797071E+01
99	1.12809725E+03	1.84099487E+02
